RT13Id,IsBadBuy
1,0
7,1
8,0
20,0
21,1
25,0
27,1
30,0
32,1
33,0
36,1
41,0
43,0
47,1
51,1
56,0
59,0
62,1
67,0
70,0
71,0
74,1
79,0
82,1
86,0
89,0
90,0
91,0
94,1
100,0
103,0
107,0
111,1
116,1
125,0
130,0
131,1
134,1
141,0
143,1
146,0
147,0
148,1
153,0
154,1
157,0
167,0
168,1
170,1
175,0
184,0
187,0
193,0
195,0
197,0
200,0
202,0
203,1
204,1
205,0
213,0
216,0
217,0
219,1
223,1
228,0
229,0
230,0
232,0
237,0
240,0
242,0
245,0
246,0
248,1
252,0
253,0
255,0
257,0
264,0
269,0
270,1
287,0
291,0
292,0
299,0
304,0
306,0
309,0
311,0
316,0
317,1
320,0
321,0
324,0
329,1
334,0
340,0
342,0
344,0
352,0
355,1
359,0
361,0
365,0
371,0
372,0
373,0
382,1
385,0
386,0
390,0
391,0
392,0
393,0
394,1
396,0
397,0
400,0
401,0
403,0
405,1
408,0
410,0
416,1
418,0
419,0
420,0
422,0
424,0
426,0
427,0
429,0
431,1
432,0
433,1
443,1
448,0
453,0
456,1
462,0
468,0
469,0
470,0
473,0
474,0
475,0
477,1
478,0
479,1
480,0
482,0
488,1
493,0
502,0
503,1
507,0
508,0
509,1
510,1
511,0
514,1
519,0
521,1
527,0
529,0
535,0
537,1
539,1
544,0
549,0
555,0
562,0
563,0
569,1
571,0
573,0
576,0
577,0
587,0
589,1
591,0
594,0
596,0
601,1
604,0
607,1
609,0
610,1
611,0
612,0
617,0
620,0
621,1
625,0
628,0
631,0
634,1
635,1
636,1
646,0
648,1
657,0
658,1
659,1
661,0
664,0
678,0
679,1
681,0
684,0
685,0
690,0
694,0
701,0
702,0
703,1
705,0
706,0
708,0
709,1
710,0
711,0
713,0
714,0
718,0
719,0
726,1
727,0
744,1
745,0
746,1
747,0
750,0
752,1
755,0
758,0
760,0
761,0
764,1
766,1
770,0
775,1
785,0
788,0
791,1
793,1
795,0
796,0
800,0
805,0
810,0
818,0
819,0
820,0
821,0
823,0
824,0
830,1
831,1
833,0
835,1
846,0
851,0
853,0
859,0
863,0
864,0
873,0
874,0
881,0
882,1
887,1
888,0
899,0
900,0
904,0
905,0
908,0
909,0
914,0
919,0
926,0
934,1
937,1
938,0
946,0
956,0
980,1
983,0
984,0
988,1
991,0
993,0
996,0
1001,0
1006,0
1008,0
1013,0
1016,1
1017,1
1019,0
1021,0
1024,0
1026,1
1029,0
1032,1
1033,0
1036,0
1038,0
1039,0
1040,0
1043,1
1044,1
1047,0
1050,0
1052,0
1053,0
1059,1
1060,0
1061,0
1062,1
1063,0
1066,1
1070,1
1073,1
1078,1
1081,0
1096,1
1102,0
1104,0
1106,0
1109,0
1112,1
1115,0
1116,0
1118,1
1122,1
1126,1
1133,0
1135,0
1137,0
1141,0
1152,0
1155,0
1157,0
1161,0
1163,1
1169,0
1170,0
1171,0
1174,0
1176,0
1184,0
1185,0
1188,0
1189,0
1190,0
1191,0
1192,0
1194,1
1195,0
1197,0
1198,0
1202,0
1203,0
1204,0
1208,0
1209,0
1211,0
1215,0
1218,0
1220,1
1224,0
1227,1
1229,1
1235,0
1239,1
1241,0
1244,0
1246,0
1249,1
1251,0
1254,0
1271,0
1272,0
1276,0
1279,1
1283,0
1284,0
1286,1
1287,0
1293,0
1294,0
1296,0
1297,0
1302,0
1310,0
1311,0
1313,0
1314,0
1316,1
1318,0
1321,0
1323,1
1324,0
1328,1
1333,0
1334,0
1340,0
1341,0
1361,0
1363,0
1368,0
1369,0
1370,0
1371,0
1372,0
1376,0
1394,0
1400,0
1405,0
1409,0
1410,0
1413,0
1415,0
1421,0
1426,0
1433,0
1435,0
1440,1
1442,0
1449,0
1452,1
1455,0
1456,1
1462,1
1468,0
1475,0
1480,1
1486,0
1488,0
1494,1
1499,1
1507,0
1510,1
1515,1
1518,0
1525,0
1528,0
1530,0
1532,0
1546,0
1549,0
1555,1
1560,0
1566,1
1567,1
1586,1
1588,1
1591,0
1594,0
1603,0
1605,1
1619,0
1622,0
1626,1
1627,1
1632,1
1634,1
1635,0
1638,0
1640,1
1644,1
1647,1
1651,0
1665,0
1669,1
1673,0
1681,1
1684,1
1688,0
1690,0
1693,1
1698,1
1702,0
1710,0
1717,1
1719,0
1724,1
1725,0
1728,0
1729,1
1731,0
1732,1
1734,0
1748,1
1749,1
1750,0
1752,0
1753,0
1755,0
1759,0
1764,1
1770,1
1772,1
1775,0
1780,0
1790,1
1791,1
1792,1
1795,1
1796,1
1798,0
1800,0
1803,0
1804,0
1808,1
1810,1
1813,1
1814,0
1816,1
1818,1
1820,0
1821,0
1822,1
1829,0
1830,0
1831,0
1832,0
1834,0
1838,0
1841,1
1842,1
1844,1
1846,1
1847,1
1849,0
1853,0
1868,0
1869,0
1870,1
1874,0
1876,0
1877,1
1878,0
1882,1
1892,0
1895,0
1900,1
1910,1
1913,1
1915,1
1917,0
1920,0
1926,1
1931,0
1932,0
1935,1
1937,1
1939,0
1940,0
1942,1
1948,0
1954,0
1957,0
1962,0
1963,0
1966,0
1970,1
1971,1
1976,0
1977,1
1978,0
1979,0
1984,0
1985,0
1987,0
1989,1
1990,0
1994,0
1995,1
1997,0
2000,0
2003,0
2005,0
2006,1
2009,0
2016,0
2020,0
2021,1
2022,0
2028,0
2031,0
2032,0
2035,1
2036,0
2050,0
2051,0
2052,1
2053,0
2060,0
2064,0
2071,0
2072,0
2074,0
2076,1
2079,0
2082,0
2083,0
2094,0
2097,0
2100,0
2109,0
2111,0
2117,0
2119,0
2123,0
2125,0
2126,1
2129,0
2130,0
2132,0
2135,0
2137,0
2138,0
2140,0
2146,1
2147,0
2148,0
2151,0
2152,0
2153,0
2163,0
2166,0
2167,0
2168,1
2172,0
2174,0
2176,0
2178,0
2180,0
2185,0
2188,0
2189,1
2191,0
2193,1
2194,0
2197,0
2198,0
2200,0
2201,1
2202,1
2204,0
2205,0
2210,0
2212,0
2224,0
2230,0
2233,0
2239,0
2243,0
2248,0
2251,0
2253,0
2254,0
2260,0
2265,0
2266,0
2274,0
2277,0
2284,0
2286,0
2287,1
2291,1
2292,0
2293,0
2300,0
2301,1
2304,0
2307,1
2311,1
2313,1
2314,1
2318,1
2326,0
2327,0
2331,0
2333,1
2339,1
2340,0
2341,0
2343,0
2350,0
2351,0
2357,0
2358,0
2359,0
2365,0
2371,0
2374,0
2376,0
2384,0
2394,0
2395,1
2397,0
2399,0
2403,0
2406,1
2408,0
2410,1
2411,0
2413,0
2415,1
2417,0
2420,0
2424,0
2426,0
2428,0
2433,1
2437,0
2439,0
2447,0
2449,1
2450,0
2452,0
2464,0
2471,0
2473,0
2474,0
2477,0
2480,0
2487,0
2489,0
2497,0
2498,0
2503,0
2504,0
2507,0
2511,1
2515,0
2516,1
2518,0
2520,0
2525,0
2526,1
2530,0
2531,0
2538,0
2540,0
2544,0
2546,0
2550,0
2551,0
2552,0
2555,0
2556,1
2561,0
2562,0
2566,0
2570,0
2572,0
2573,1
2574,0
2580,0
2583,0
2589,0
2592,1
2593,1
2594,1
2597,0
2612,0
2616,0
2618,0
2619,1
2622,0
2623,1
2625,0
2628,1
2635,0
2639,0
2642,1
2648,0
2659,0
2663,0
2664,0
2666,0
2669,0
2670,0
2675,0
2677,0
2685,0
2686,0
2688,0
2692,0
2694,0
2695,0
2696,0
2697,0
2699,0
2700,0
2701,0
2702,0
2703,0
2705,0
2712,0
2713,0
2716,0
2731,0
2733,0
2735,0
2748,0
2750,0
2751,0
2752,0
2753,0
2757,0
2763,1
2766,0
2771,0
2772,0
2777,0
2779,1
2786,0
2787,0
2793,1
2794,0
2796,0
2797,0
2807,0
2817,0
2818,0
2823,1
2825,0
2833,0
2842,0
2847,0
2850,0
2852,0
2855,0
2857,0
2858,0
2860,1
2862,0
2873,0
2876,0
2879,0
2884,1
2885,0
2887,0
2890,1
2894,0
2898,1
2909,0
2912,0
2913,0
2914,0
2916,1
2922,0
2926,0
2934,0
2935,0
2939,1
2942,0
2947,0
2954,1
2956,1
2958,0
2959,0
2965,0
2967,0
2968,1
2969,0
2972,0
2974,1
2976,1
2981,0
2988,0
2996,0
2999,0
3000,0
3002,0
3003,0
3004,0
3007,0
3010,1
3011,1
3012,1
3013,0
3014,1
3015,0
3021,0
3026,0
3028,0
3029,0
3030,0
3043,0
3047,1
3068,0
3072,1
3082,1
3084,0
3087,0
3091,1
3092,0
3093,0
3094,1
3095,1
3097,1
3105,0
3111,0
3113,0
3114,0
3115,0
3120,1
3129,0
3130,0
3133,0
3135,1
3139,1
3140,0
3141,0
3142,0
3143,0
3146,0
3150,0
3151,0
3158,0
3165,0
3166,0
3170,0
3172,0
3175,0
3178,0
3179,0
3184,0
3185,1
3186,0
3187,0
3194,0
3201,0
3205,0
3206,1
3207,0
3221,0
3222,1
3228,0
3235,1
3236,0
3243,0
3244,0
3256,0
3258,0
3269,1
3279,0
3282,1
3283,0
3285,0
3286,0
3287,0
3289,0
3290,0
3295,0
3298,0
3299,0
3303,0
3306,0
3311,0
3313,0
3314,0
3321,0
3323,1
3325,0
3326,0
3331,0
3337,0
3338,0
3343,1
3344,0
3346,0
3347,1
3348,0
3359,0
3369,0
3371,0
3378,0
3380,1
3382,0
3393,0
3400,0
3403,0
3405,1
3406,0
3407,0
3411,1
3413,0
3419,0
3420,0
3421,1
3423,0
